Date,HomeTeam,AwayTeam,FTHG,FTAG,HR,AR,BbMxH,BbMxA,BbAHh,BbMxAHH,BbMxAHA
02/12/17,Mechelen,Genk,3,2,0,0,3.4,2.32,0.25,1.96,2
02/12/17,Mouscron,St Truiden,1,1,0,0,2.63,2.85,0,1.91,2.05
03/12/17,Eupen,Club Brugge,2,2,0,0,5.38,1.65,1,1.89,2.07
03/12/17,Standard,Antwerp,1,1,0,0,1.57,6.61,-1,2.03,1.93
03/12/17,Waregem,Gent,0,1,0,1,3.41,2.19,0.25,2.04,1.9
08/12/17,Waasland-Beveren,Standard,3,1,0,0,3,2.57,0,2.11,1.85
09/12/17,Antwerp,Mouscron,1,0,0,0,1.69,5.8,-0.75,1.89,2.05
09/12/17,Genk,Eupen,1,1,0,0,1.5,7.3,-1.25,2.04,1.96
09/12/17,Gent,Kortrijk,2,1,0,0,1.35,11.45,-1.5,1.96,1.98
09/12/17,Oostende,Mechelen,0,1,0,0,1.9,4.29,-0.5,1.87,2.12
10/12/17,Anderlecht,Charleroi,1,3,2,1,1.5,8.5,-1.25,2.09,1.85
10/12/17,Club Brugge,Lokeren,3,1,0,0,1.28,14.01,-1.75,2,1.98
10/12/17,St Truiden,Waregem,1,1,1,0,2.27,3.3,-0.25,1.97,1.99
15/12/17,Mouscron,Oostende,1,0,0,0,3.67,2.2,0.25,2.09,1.9
16/12/17,Eupen,St Truiden,0,0,0,0,2.5,3.12,-0.25,2.03,1.94
16/12/17,Kortrijk,Mechelen,2,0,0,0,2.65,2.75,0,1.96,2.02
16/12/17,Lokeren,Waasland-Beveren,1,1,0,0,2.76,2.65,0,2.04,1.92
16/12/17,Standard,Gent,0,0,0,0,2.38,3.39,-0.25,2.04,1.94
17/12/17,Charleroi,Genk,1,1,0,0,2.51,3.1,-0.25,2.16,1.81
17/12/17,Club Brugge,Anderlecht,5,0,0,0,2.03,3.75,-0.5,2.04,1.9
17/12/17,Waregem,Antwerp,1,2,0,0,2,4.33,-0.5,2,1.97
20/12/17,Mechelen,Club Brugge,0,3,2,0,4.5,1.92,0.75,1.78,2.2
21/12/17,Antwerp,Lokeren,1,2,0,0,1.77,5.39,-0.75,2.02,1.93
21/12/17,Gent,Charleroi,1,0,0,0,1.9,5.23,-0.75,2.12,1.86
22/12/17,Anderlecht,Eupen,1,0,0,0,1.42,9,-1.5,2.08,1.94
22/12/17,Waasland-Beveren,Oostende,1,3,0,0,2.4,3.1,-0.25,2.06,1.9
23/12/17,Genk,Kortrijk,2,3,1,0,1.55,7.5,-1,1.85,2.11
23/12/17,Mouscron,Waregem,2,1,0,1,2.94,2.45,0.25,1.83,2.16
23/12/17,Standard,St Truiden,1,1,0,0,1.7,5.52,-0.75,1.9,2.06
26/12/17,Anderlecht,Gent,1,0,0,1,2.04,4.07,-0.5,2.06,1.89
26/12/17,Club Brugge,Mouscron,4,2,0,1,1.19,19.5,-2.25,2.04,1.93
26/12/17,Eupen,Waasland-Beveren,1,0,1,0,2.6,2.97,-0.25,2.05,1.88
26/12/17,Lokeren,Mechelen,2,0,0,0,2.9,2.75,0,2.11,1.9
26/12/17,Waregem,Charleroi,0,4,2,0,2.68,2.77,0,1.94,2
27/12/17,Kortrijk,Standard,2,1,0,1,3.29,2.37,0.25,1.92,2.05
27/12/17,St Truiden,Antwerp,0,3,0,0,2.13,3.87,-0.5,2.13,1.83
16/01/18,Oostende,Genk,1,2,0,0,2.77,2.65,0,2.03,1.92
19/01/18,Charleroi,Mouscron,2,0,0,0,1.7,6.1,-0.75,1.86,2.08
20/01/18,Mechelen,Waregem,0,2,0,0,2.28,3.3,-0.25,2,1.94
20/01/18,Oostende,Kortrijk,2,1,0,0,1.7,5.25,-0.75,1.93,2.05
20/01/18,Standard,Eupen,3,2,0,1,1.58,6.79,-1,1.95,2
20/01/18,Waasland-Beveren,St Truiden,3,1,0,0,2.13,3.7,-0.25,1.83,2.12
21/01/18,Antwerp,Club Brugge,2,2,0,0,5.75,1.73,0.75,2,1.95
21/01/18,Genk,Anderlecht,0,1,1,0,2.63,2.78,0,1.91,2.04
21/01/18,Gent,Lokeren,3,0,0,0,1.35,11.34,-1.5,1.99,1.96
23/01/18,Mouscron,Kortrijk,0,3,0,0,2.39,3.15,-0.25,2.06,1.87
23/01/18,St Truiden,Mechelen,2,0,0,1,2.15,3.78,-0.25,1.83,2.12
23/01/18,Waregem,Standard,2,1,0,1,2.88,2.62,0,2.06,1.89
24/01/18,Anderlecht,Waasland-Beveren,2,2,0,0,1.45,7.51,-1.25,1.99,1.98
24/01/18,Antwerp,Gent,1,1,0,0,3.5,2.37,0.25,1.91,2.07
24/01/18,Eupen,Charleroi,1,0,0,0,2.75,2.79,0,1.94,1.99
24/01/18,Lokeren,Genk,1,2,0,0,4.01,2.02,0.5,1.9,2.03
25/01/18,Club Brugge,Oostende,3,2,0,0,1.51,6.76,-1.25,2.07,1.89
26/01/18,Mechelen,Mouscron,0,2,0,0,1.89,4.61,-0.5,1.9,2.05
27/01/18,Charleroi,Antwerp,1,1,0,2,2.02,4.17,-0.5,2.03,1.92
27/01/18,Genk,St Truiden,1,1,0,0,1.6,6.5,-1,2.01,1.92
27/01/18,Kortrijk,Eupen,0,0,0,0,2.25,3.64,-0.25,1.87,2.06
27/01/18,Waasland-Beveren,Waregem,2,2,0,0,2.48,3.3,-0.25,2.07,1.92
28/01/18,Gent,Club Brugge,2,0,0,0,2.74,2.75,0,2.01,1.94
28/01/18,Oostende,Lokeren,2,3,0,0,1.9,4.99,-0.75,2.02,1.9
28/01/18,Standard,Anderlecht,3,3,0,0,2.69,2.95,0,1.9,2.08
02/02/18,Antwerp,Waasland-Beveren,1,2,0,0,2.11,3.8,-0.5,2.08,1.86
03/02/18,Eupen,Gent,1,1,1,0,4,2.05,0.5,1.89,2.03
03/02/18,Lokeren,Standard,0,3,1,0,4.12,2.1,0.5,1.89,2.05
03/02/18,Mouscron,Genk,0,1,0,0,3.8,2.16,0.25,2.09,1.83
03/02/18,St Truiden,Kortrijk,0,2,0,0,1.95,4.2,-0.5,1.93,2.02
04/02/18,Anderlecht,Mechelen,2,2,0,0,1.44,8.64,-1.25,1.94,1.99
04/02/18,Club Brugge,Charleroi,3,3,0,0,1.56,7,-1,1.91,2.03
04/02/18,Waregem,Oostende,1,1,0,0,2.21,3.4,-0.25,1.88,2.04
09/02/18,Genk,Waregem,3,1,0,0,1.79,4.79,-0.75,2.04,1.92
10/02/18,Gent,St Truiden,3,0,0,1,1.72,6.24,-1,2.16,1.8
10/02/18,Kortrijk,Antwerp,4,0,0,0,2.54,3,-0.25,2.2,1.8
10/02/18,Mechelen,Eupen,1,0,0,0,2.19,3.7,-0.5,2.12,1.83
10/02/18,Oostende,Anderlecht,2,0,0,1,3.45,2.23,0.25,2,1.96
11/02/18,Charleroi,Lokeren,1,1,0,0,1.74,5.5,-0.75,1.96,2
11/02/18,Standard,Mouscron,4,3,1,1,1.4,11,-1.5,2.06,1.89
11/02/18,Waasland-Beveren,Club Brugge,1,1,0,0,5.1,1.77,0.75,1.96,1.98
16/02/18,St Truiden,Anderlecht,1,0,0,0,3.25,2.34,0.25,1.9,2.05
17/02/18,Antwerp,Oostende,0,0,0,0,2.29,3.4,-0.25,1.98,1.97
17/02/18,Club Brugge,Genk,2,2,0,0,1.68,5.78,-1,2.2,1.83
17/02/18,Lokeren,Kortrijk,0,1,0,0,2.58,2.9,0,1.83,2.13
17/02/18,Waregem,Eupen,3,2,0,0,1.7,6,-1,2.06,1.9
18/02/18,Charleroi,Standard,1,1,0,1,2.8,2.7,0,2.01,1.95
18/02/18,Gent,Mechelen,2,2,0,0,1.62,6.74,-1,2.08,1.89
18/02/18,Mouscron,Waasland-Beveren,2,2,0,0,2.65,2.85,0,1.92,2.01
23/02/18,Genk,Antwerp,4,0,0,1,1.83,4.88,-0.75,2.07,1.87
24/02/18,Eupen,Lokeren,3,2,1,0,2.16,3.65,-0.25,1.83,2.11
24/02/18,Mechelen,Charleroi,1,1,0,0,2.4,3.25,-0.25,2.02,1.91
24/02/18,Oostende,St Truiden,2,0,1,0,2.1,3.94,-0.5,1.99,1.93
24/02/18,Waasland-Beveren,Gent,1,2,0,0,3.3,2.35,0.25,1.92,2.02
25/02/18,Anderlecht,Mouscron,5,3,0,0,1.38,9.11,-1.5,2.12,1.85
25/02/18,Kortrijk,Waregem,0,1,0,0,2.3,3.25,-0.25,1.99,1.96
25/02/18,Standard,Club Brugge,1,1,0,0,2.6,3.11,-0.25,2.13,1.84
03/03/18,Antwerp,Eupen,2,0,0,0,1.99,4.1,-0.5,1.97,1.95
03/03/18,Charleroi,St Truiden,0,0,0,0,2.06,4.1,-0.5,2.06,1.89
03/03/18,Club Brugge,Kortrijk,2,1,0,0,1.36,10.5,-1.5,1.99,2
03/03/18,Gent,Oostende,2,3,0,0,1.64,6.31,-1,2.08,1.86
03/03/18,Mouscron,Lokeren,1,2,1,0,2.47,3.1,-0.25,2.12,1.83
03/03/18,Standard,Mechelen,3,2,0,0,1.67,5.71,-1,2.19,1.79
03/03/18,Waasland-Beveren,Genk,0,1,0,1,3.25,2.35,0.25,1.92,2.01
03/03/18,Waregem,Anderlecht,2,3,0,0,3.25,2.29,0.25,1.96,2
11/03/18,Anderlecht,Antwerp,2,1,2,0,1.63,5.85,-1,2.04,1.88
11/03/18,Eupen,Mouscron,4,0,0,0,1.65,6.28,-1,2.1,2.03
11/03/18,Genk,Gent,1,2,0,0,2.28,3.4,-0.25,1.97,1.98
11/03/18,Kortrijk,Charleroi,2,0,0,0,2.55,3,-0.25,2.19,1.75
11/03/18,Lokeren,Waregem,0,2,0,0,2.65,2.74,0,1.94,1.99
11/03/18,Mechelen,Waasland-Beveren,2,0,0,0,1.64,6.26,-1,2.1,2.02
11/03/18,Oostende,Standard,2,3,0,0,3.36,2.43,0.25,2,1.92
11/03/18,St Truiden,Club Brugge,0,1,0,0,4.75,1.82,0.75,1.89,2.04
27/07/2018,Standard,Gent,3,2,0,0,2.31,3.5,-0.25,1.97,1.96
28/07/2018,Kortrijk,Anderlecht,1,4,0,0,4.5,1.82,0.75,1.9,2.05
28/07/2018,Oostende,Mouscron,2,1,0,2,1.57,7,-1,1.97,1.97
28/07/2018,St Truiden,Cercle Brugge,0,0,0,0,1.97,4.1,-0.5,1.94,1.99
28/07/2018,Waregem,Waasland-Beveren,2,2,0,0,1.51,6.8,-1,1.79,2.16
29/07/2018,Charleroi,Antwerp,0,1,0,0,2.07,4,-0.5,2.06,1.88
29/07/2018,Club Brugge,Eupen,5,2,0,1,1.29,12.87,-1.75,2,1.98
29/07/2018,Lokeren,Genk,0,4,1,0,3.75,2.12,0.5,1.85,2.12
03/08/2018,Waasland-Beveren,Standard,0,0,0,1,4.4,1.88,0.5,2.06,1.87
04/08/2018,Antwerp,Kortrijk,0,0,0,0,1.89,4.5,-0.5,1.87,2.05
04/08/2018,Cercle Brugge,Lokeren,3,2,0,0,2.04,3.7,-0.5,2.01,1.93
04/08/2018,Eupen,Charleroi,1,4,1,0,2.73,2.68,0,1.98,1.96
04/08/2018,Gent,Waregem,1,1,0,0,1.81,4.65,-0.75,2.08,1.86
05/08/2018,Anderlecht,Oostende,5,2,0,0,1.53,7.24,-1.75,2.11,1.85
05/08/2018,Genk,St Truiden,1,1,0,0,1.56,6.64,-1,1.9,2.06
05/08/2018,Mouscron,Club Brugge,0,1,0,1,7,1.5,1.25,1.89,2.07
10/08/2018,Club Brugge,Kortrijk,3,0,0,0,1.32,12,-1.75,2.01,1.92
11/08/2018,Mouscron,Antwerp,0,1,0,0,3.4,2.25,0.25,2.04,1.9
11/08/2018,St Truiden,Lokeren,1,1,0,0,1.78,5,-0.75,1.96,1.98
11/08/2018,Standard,Cercle Brugge,0,0,0,0,1.5,9,-1.25,2.11,1.86
11/08/2018,Waregem,Eupen,4,0,0,0,1.48,7.5,-1,1.73,2.28
12/08/2018,Charleroi,Anderlecht,1,2,0,0,3.71,2.1,0.5,1.85,2.07
12/08/2018,Gent,Waasland-Beveren,4,1,0,0,1.39,9.75,-1.5,2.09,1.86
12/08/2018,Oostende,Genk,0,2,0,0,4.1,1.95,0.5,2.04,1.89
17/08/2018,Anderlecht,Mouscron,2,0,1,0,1.25,17.15,-2,2.12,1.85
18/08/2018,Cercle Brugge,Waregem,3,1,0,0,3.4,2.2,0.25,2.07,1.85
18/08/2018,Kortrijk,Oostende,1,2,1,0,2.54,2.87,0,1.88,2.09
18/08/2018,Lokeren,Standard,0,3,0,0,4.35,1.97,0.75,1.73,2.23
