Date,HomeTeam,AwayTeam,FTHG,FTAG,HR,AR,BbMxH,BbMxA,BbAHh,BbMxAHH,BbMxAHA
20/10/2018,Panathinaikos,Panionios,1,0,0,0,1.85,5.29,-0.75,2.14,1.84
21/10/2018,Aris,PAOK,1,2,0,0,3.8,2.25,0.5,1.75,2.25
21/10/2018,Levadeiakos,Xanthi,1,2,0,0,2.85,3.1,0,1.91,2.04
21/10/2018,OFI Crete,Olympiakos,1,0,0,0,9.04,1.5,1.25,1.86,2.2
22/10/2018,Atromitos,Asteras Tripolis,3,2,1,0,2,4.7,-0.5,1.98,1.96
27/10/2018,Lamia,Levadeiakos,3,2,0,1,2.25,4,-0.25,1.88,2.11
27/10/2018,Larisa,OFI Crete,0,0,0,0,2.25,4.1,-0.25,1.88,2.07
28/10/2018,AEK,Aris,4,0,0,0,1.57,7.2,-1,2.02,1.9
28/10/2018,Panetolikos,Asteras Tripolis,1,1,0,0,2.9,3,0,1.92,2.02
28/10/2018,Panionios,Atromitos,2,2,0,0,3,2.85,0,2,1.96
